n,trials,greedy_avg_time,greedy_median_time,greedy_std_time,hungarian_avg_time,hungarian_median_time,hungarian_std_time,greedy_avg_cost,hungarian_avg_cost,avg_approx_ratio,std_approx_ratio
10,20,1.6840000171214342e-05,1.5650002751499414e-05,3.9440292312134766e-06,4.1750003583729266e-05,4.0549959521740675e-05,8.816213584915723e-06,1887.4,1328.05,1.4464751759193442,0.23041526968179374
20,20,6.686001433990896e-05,6.0999998822808266e-05,1.9132930926248085e-05,0.00017134498339146375,0.00016689999029040337,2.6677980057637163e-05,2345.75,1487.0,1.581794639913696,0.220662198041301
30,20,0.0001568150008097291,0.00013574998592957854,7.161418007024468e-05,0.0004596999962814152,0.00044450000859797,8.091695989557865e-05,2827.7,1530.2,1.8630934679080537,0.27362357911105195
40,20,0.0002655699907336384,0.00026964995777234435,2.5086947270946016e-05,0.0009401000046636909,0.0009579500183463097,0.00025484682306500984,2909.85,1532.15,1.9216614999980353,0.28781608637005435
50,20,0.00044903497910127045,0.0004214000073261559,0.0001407113477761946,0.0016716749989427627,0.0015966499922797084,0.0006217069275467162,3246.65,1621.9,2.028144259811781,0.3275547731763659
60,20,0.0006809949758462608,0.0006313999183475971,0.00012604545445904562,0.0022599250194616618,0.0022533999872393906,0.0004330081351110724,3475.1,1594.6,2.1916167230535155,0.22867216160633264
70,20,0.0016441849991679191,0.0008548499899916351,0.0033296860756413097,0.0033396449871361256,0.003319149953313172,0.0005814151037128422,3676.1,1655.85,2.2396188783481996,0.23345242815292258
80,20,0.0011798949912190438,0.0011112499632872641,0.0001447112764878621,0.0043914749985560775,0.004393450042698532,0.0007264477668458576,3695.3,1660.65,2.2344885769150014,0.26098801847317626
90,20,0.0015301349863875656,0.0015277499915100634,0.00010716474936700705,0.0057676950003951784,0.0054932000348344445,0.000946407210722956,3811.75,1624.25,2.347973789368395,0.26206157456430457
100,20,0.0018045999924652279,0.0017710499814711511,9.154973466258336e-05,0.007403014984447509,0.006994300056248903,0.0013069911466405655,3997.2,1675.9,2.384577549567701,0.2428409499164607
110,20,0.0022757899947464465,0.002216799999587238,0.0001465396695664971,0.009555210004327819,0.009011050045955926,0.0015854161430792855,4017.2,1672.9,2.407933151539106,0.2317000897696948
120,20,0.0027450449881143866,0.00270979997003451,0.00021256845892698268,0.011243160010781138,0.01155295001808554,0.001524013107527383,4113.2,1642.15,2.500430950521322,0.2043404236709883
130,10,0.003218450036365539,0.003344650089275092,0.00021880101298540558,0.014185040001757443,0.014190299960318953,0.0022793706080822293,3938.7,1646.5,2.400195138582583,0.26494201889055796
140,10,0.0037366700125858188,0.003666750038973987,0.0002609166584869739,0.015862110012676567,0.016930899990256876,0.0025651975651719673,4430.3,1696.5,2.617402145442947,0.3165575367513951
150,10,0.004540899978019297,0.004392049973830581,0.0004080654639672256,0.019382400007452817,0.019467050035018474,0.003154620088735523,4502.6,1700.8,2.648294117259278,0.3010392772247154
160,10,0.004957580019254238,0.004955800017341971,0.00020723616574481213,0.0219151399563998,0.020881849981378764,0.0035795479099106384,4489.4,1753.5,2.568424915613507,0.2630121685483032
170,10,0.005821620009373874,0.005494000040926039,0.0007388164575712774,0.024410009977873414,0.022375650005415082,0.0036660257332247884,4312.4,1694.9,2.544849496963016,0.12633653009311638
180,10,0.006630730000324547,0.006644299952313304,0.0004459721837788745,0.029721230000723152,0.03019049996510148,0.004209718447789974,4637.2,1692.2,2.750735329646811,0.2510553824614434
190,10,0.007199409999884665,0.007116700056940317,0.000439489896673557,0.03783046002499759,0.03396625001914799,0.0072679007504459275,4728.5,1775.4,2.664234457552335,0.18615059183981628
200,10,0.009542479983065278,0.008403000014368445,0.0036012145795673227,0.036678970011416824,0.03707570000551641,0.004669247835362963,4638.5,1694.0,2.7366960834307585,0.20959196898902563
